observation_ID,date,frequency,frequency_err,width,width_err,rms,rms_err
70702-01-48-00,52732.17,1.797,0.004,0.193,0.011,13.355,0.247
70702-01-48-01,52732.24,1.709,0.005,0.222,0.013,13.815,0.251
70702-01-50-00,52745.18,0.865,0.003,0.073,0.006,10.724,0.298
70702-01-50-01,52745.26,0.851,0.003,0.122,0.011,11.950,0.286
70702-01-51-00,52752.22,0.815,0.003,0.087,0.010,10.544,0.381
70702-01-52-00,52760.11,1.385,0.003,0.114,0.007,11.578,0.236
70702-01-54-00,53077.27,1.218,0.005,0.134,0.010,12.143,0.328
70702-01-54-01,53077.33,1.095,0.006,0.109,0.014,12.224,0.549
70703-01-01-02,52365.14,4.979,0.010,0.448,0.027,7.000,0.163
70703-01-01-03,52365.21,3.858,0.009,0.434,0.026,9.935,0.186
70703-01-01-04,52365.28,3.409,0.007,0.363,0.018,10.932,0.188
70703-01-01-05,52365.35,3.043,0.007,0.398,0.016,11.100,0.141
70703-01-01-07,52365.65,2.938,0.005,0.307,0.015,11.243,0.157
70703-01-01-08,52365.72,2.525,0.005,0.213,0.012,9.177,0.310
70703-01-01-10,52366.13,2.737,0.006,0.275,0.015,11.423,0.206
70703-01-01-11,52366.20,3.026,0.007,0.383,0.021,11.438,0.185
70703-01-01-12,52366.27,2.745,0.008,0.306,0.017,11.584,0.207
70703-01-01-13,52366.34,2.798,0.009,0.345,0.022,11.829,0.236
70703-01-01-14,52362.80,2.628,0.004,0.422,0.008,12.401,0.079
80701-01-01-00,52780.06,1.114,0.003,0.088,0.008,11.066,0.334
80701-01-01-01,52780.13,1.176,0.004,0.115,0.010,10.939,0.315
80701-01-01-02,52780.19,1.340,0.005,0.131,0.013,11.498,0.354
80701-01-02-00,52786.03,1.651,0.006,0.204,0.013,12.186,0.246
80701-01-02-01,52786.11,1.894,0.007,0.201,0.014,12.397,0.298
80701-01-02-02,52786.17,2.110,0.010,0.233,0.021,12.001,0.347
80701-01-08-01,54033.74,4.678,0.016,0.481,0.037,7.384,0.209
80701-01-11-00,52835.88,2.855,0.007,0.355,0.021,13.121,0.286
80701-01-11-01,52836.01,2.725,0.008,0.334,0.029,14.032,0.374
80701-01-11-02,52835.95,2.870,0.008,0.355,0.021,13.308,0.284
80701-01-12-00,52843.96,3.056,0.007,0.417,0.022,13.264,0.223
80701-01-14-00,52848.88,4.159,0.013,0.768,0.034,8.891,0.153
80701-01-14-01,52848.95,3.487,0.008,0.554,0.031,11.551,0.224
80701-01-19-00,54051.56,3.852,0.010,0.505,0.028,10.054,0.208
80701-01-19-01,54051.64,3.834,0.010,0.432,0.031,9.963,0.217
80701-01-19-02,54051.70,3.729,0.011,0.471,0.034,10.466,0.266
80701-01-19-03,54051.77,3.469,0.011,0.394,0.030,11.232,0.305
80701-01-23-00,54060.53,2.672,0.007,0.229,0.017,13.232,0.352
80701-01-23-01,54060.60,2.594,0.008,0.208,0.022,13.008,0.255
80701-01-23-02,54060.72,2.867,0.008,0.384,0.018,12.859,0.225
80701-01-26-00,54067.52,2.538,0.003,0.233,0.008,13.968,0.154
80701-01-32-00,54073.61,2.102,0.003,0.201,0.007,15.056,0.171
80701-01-40-01,53001.60,3.394,0.005,0.331,0.013,11.059,0.147
80701-01-51-00,54078.47,2.218,0.003,0.201,0.008,14.270,0.164
80701-01-52-00,54090.54,3.807,0.012,0.445,0.029,10.114,0.243
80701-01-52-01,54090.60,4.246,0.014,0.463,0.033,8.592,0.233
80701-01-53-00,54097.47,3.137,0.009,0.484,0.030,12.464,0.276
80701-01-53-01,54097.54,2.910,0.009,0.420,0.031,13.131,0.352
80701-01-54-00,54100.41,2.821,0.009,0.396,0.022,13.171,0.273
80701-01-54-01,54100.55,3.248,0.011,0.572,0.029,12.413,0.222
80701-01-54-02,54100.48,2.759,0.008,0.345,0.023,13.386,0.304
80701-01-55-00,54111.41,2.854,0.006,0.299,0.016,13.535,0.242
80701-01-55-01,54111.47,2.828,0.007,0.334,0.016,13.319,0.109
80701-01-55-02,54111.54,2.615,0.004,0.266,0.009,14.091,0.155
80701-01-56-00,54118.40,2.554,0.002,0.146,0.004,13.084,0.126
80701-01-57-00,54124.36,2.064,0.002,0.160,0.004,13.909,0.131
80701-01-58-00,54131.36,3.021,0.004,0.246,0.011,12.904,0.192
80701-01-58-01,54131.56,2.924,0.007,0.253,0.017,12.771,0.303
80701-01-58-02,54131.43,2.944,0.009,0.273,0.021,13.288,0.367
80701-01-58-03,54131.49,2.926,0.009,0.292,0.021,12.794,0.329
80701-01-59-00,54137.35,2.853,0.006,0.161,0.015,12.849,0.340
80701-01-59-01,54137.42,2.769,0.009,0.200,0.019,12.441,0.418
80701-01-59-02,54137.52,2.765,0.007,0.162,0.018,12.218,0.430
80701-01-60-00,54144.35,4.107,0.010,0.404,0.022,9.794,0.176
80701-01-60-02,54144.49,4.092,0.012,0.358,0.033,9.309,0.232
80701-01-61-00,54151.28,3.535,0.007,0.366,0.020,11.740,0.216
80701-01-61-01,54151.35,3.654,0.009,0.387,0.026,10.851,0.213
80701-01-61-02,54151.49,3.353,0.009,0.367,0.027,12.380,0.313
80701-01-62-00,54159.27,2.459,0.007,0.275,0.016,12.957,0.260
80701-01-62-01,54159.34,2.391,0.007,0.251,0.015,12.385,0.275
80701-01-62-02,54159.40,2.458,0.008,0.289,0.019,12.842,0.322
90108-01-03-00,53125.12,1.738,0.006,0.151,0.014,11.043,0.332
90108-01-04-00,53126.10,1.418,0.005,0.125,0.015,11.022,0.348
90108-01-05-00,53127.09,1.496,0.005,0.126,0.014,10.932,0.349
90108-01-06-00,53128.14,1.109,0.005,0.083,0.010,9.845,0.401
90412-01-01-00,53132.51,2.424,0.002,0.247,0.004,12.521,0.081
90701-01-01-00,53089.21,0.891,0.005,0.126,0.013,10.856,0.320
90701-01-01-02,53089.34,0.912,0.006,0.136,0.016,11.011,0.445
90701-01-02-00,53094.19,0.799,0.004,0.074,0.009,9.513,0.329
90701-01-02-01,53094.26,0.821,0.003,0.084,0.008,10.020,0.336
90701-01-02-02,53094.33,0.805,0.004,0.076,0.009,9.839,0.347
90701-01-02-03,53094.40,0.777,0.003,0.117,0.013,10.930,0.335
90701-01-03-00,53100.22,0.552,0.003,0.065,0.007,8.522,0.311
90701-01-04-00,53109.30,0.828,0.003,0.058,0.007,9.745,0.375
90701-01-05-00,53117.11,0.691,0.004,0.076,0.012,9.089,0.279
90701-01-06-00,53122.10,2.372,0.006,0.206,0.012,12.221,0.257
90701-01-07-00,53131.09,2.210,0.006,0.181,0.013,12.056,0.277
90701-01-07-01,53131.16,2.159,0.007,0.189,0.014,11.959,0.304
90701-01-08-00,53137.06,3.624,0.007,0.305,0.020,9.937,0.192
90701-01-18-00,53204.91,3.502,0.006,0.612,0.018,12.111,0.135
90701-01-19-00,53214.88,2.120,0.002,0.147,0.005,14.266,0.171
90701-01-26-00,53264.88,2.747,0.005,0.186,0.011,14.139,0.304
90701-01-48-00,53416.47,1.822,0.006,0.190,0.017,12.917,0.373
90701-01-50-00,53431.38,1.691,0.008,0.209,0.021,13.371,0.397
90701-01-50-01,53431.31,1.707,0.006,0.215,0.018,13.224,0.325
91701-01-01-00,53439.31,1.002,0.005,0.141,0.014,12.308,0.362
91701-01-01-01,53439.44,1.011,0.006,0.115,0.016,10.928,0.402
91701-01-02-00,53446.25,1.250,0.007,0.160,0.019,12.168,0.403
91701-01-02-01,53446.38,1.338,0.006,0.161,0.015,13.562,0.387
91701-01-02-02,53446.45,1.254,0.006,0.196,0.013,13.398,0.313
91701-01-03-00,53448.21,0.749,0.003,0.067,0.007,10.073,0.369
91701-01-03-01,53448.28,0.708,0.004,0.064,0.007,10.511,0.452
91701-01-04-00,53456.27,1.195,0.004,0.148,0.011,12.466,0.245
91701-01-06-00,53472.26,3.277,0.010,0.424,0.029,11.406,0.252
91701-01-07-00,53479.24,1.798,0.007,0.212,0.018,12.186,0.334
91701-01-14-01,53740.53,1.882,0.007,0.208,0.017,12.221,0.346
91701-01-15-00,54173.40,2.949,0.004,0.145,0.009,12.256,0.230
91701-01-22-00,53794.31,2.469,0.008,0.274,0.020,13.393,0.365
91701-01-30-00,53788.42,4.153,0.020,0.787,0.068,9.077,0.317
91701-01-30-01,53788.28,4.170,0.015,0.668,0.046,8.440,0.223
91701-01-31-00,53646.76,3.080,0.007,0.350,0.021,11.882,0.235
91701-01-32-00,53653.77,1.605,0.005,0.157,0.012,12.690,0.321
91701-01-32-01,53653.70,1.648,0.004,0.161,0.009,12.779,0.239
91701-01-33-01,53659.98,5.690,0.023,0.661,0.095,3.888,0.437
91701-01-34-00,53669.68,2.785,0.006,0.392,0.015,12.222,0.158
91701-01-34-01,53669.75,2.949,0.005,0.325,0.014,11.856,0.162
91701-01-41-00,53718.56,1.615,0.002,0.122,0.005,10.867,0.152
91701-01-42-00,53723.46,2.779,0.004,0.210,0.008,11.897,0.165
91701-01-42-01,53723.54,2.539,0.004,0.207,0.009,12.121,0.187
91701-01-43-00,53730.41,2.417,0.005,0.217,0.010,12.513,0.187
91701-01-43-01,53730.50,2.166,0.008,0.240,0.019,12.504,0.339
91701-01-44-00,53740.46,1.647,0.007,0.219,0.017,12.614,0.299
91701-01-44-01,53740.60,1.864,0.008,0.163,0.018,11.957,0.422
91701-01-45-00,53744.45,1.714,0.007,0.138,0.019,11.293,0.501
91701-01-48-00,54183.21,4.200,0.005,0.330,0.012,9.796,0.114
91701-01-49-00,53771.50,1.274,0.004,0.110,0.008,12.247,0.298
91701-01-50-00,53778.30,2.126,0.005,0.247,0.012,13.905,0.228
91701-01-51-00,54193.19,2.896,0.008,0.251,0.016,12.115,0.296
91701-01-51-01,54193.26,2.959,0.008,0.237,0.018,12.011,0.315
91701-01-51-02,54193.32,2.998,0.009,0.218,0.018,12.410,0.357
91701-01-54-00,54213.99,4.228,0.007,0.407,0.016,9.405,0.132
91701-01-54-01,54214.06,3.898,0.010,0.452,0.024,10.841,0.181
91701-01-55-00,54222.10,1.988,0.001,0.071,0.002,15.700,0.167
91701-01-56-00,54229.11,2.109,0.003,0.072,0.003,14.593,0.293
91701-01-57-00,54235.13,2.853,0.009,0.240,0.021,13.993,0.383
91701-01-57-01,54235.19,2.859,0.008,0.239,0.017,14.478,0.368
91701-01-57-02,54235.26,2.916,0.007,0.232,0.016,14.633,0.363
91701-01-58-00,54243.14,3.640,0.013,0.398,0.030,10.246,0.302
91701-01-58-02,54243.25,4.207,0.020,0.595,0.057,8.824,0.278
91701-01-59-00,54251.19,2.984,0.012,0.368,0.028,11.934,0.316
91701-01-59-01,54251.12,2.829,0.013,0.396,0.028,12.567,0.337
91701-01-60-02,54256.16,4.332,0.010,0.465,0.026,8.391,0.145
91701-01-64-00,54615.07,0.959,0.003,0.075,0.007,10.365,0.362
91701-01-64-01,54615.19,1.040,0.003,0.088,0.007,10.775,0.311
91701-01-65-00,54619.06,0.706,0.002,0.045,0.006,9.755,0.379
91701-01-65-01,54619.12,0.648,0.004,0.058,0.008,9.158,0.510
91701-01-66-00,54628.14,0.920,0.003,0.077,0.006,10.302,0.279
91701-01-67-00,54633.05,0.642,0.002,0.052,0.005,9.134,0.288
91701-01-68-00,54642.95,4.086,0.014,0.426,0.033,9.387,0.207
91701-01-68-01,54643.02,3.075,0.011,0.244,0.029,10.231,0.348
91701-01-68-02,54643.12,2.829,0.010,0.249,0.023,10.996,0.344
91701-01-69-00,54644.98,2.751,0.008,0.269,0.020,11.041,0.277
91701-01-69-01,54645.05,2.454,0.009,0.187,0.020,11.167,0.430
91701-01-71-00,54660.93,5.943,0.037,0.773,0.112,3.637,0.217
91701-01-71-01,54661.00,5.872,0.047,0.802,0.106,3.949,0.190
91701-01-73-00,54673.03,1.284,0.003,0.092,0.007,11.462,0.266
91701-01-74-00,54679.05,2.609,0.006,0.271,0.015,13.059,0.218
91701-01-76-00,54697.85,3.136,0.012,0.368,0.034,11.703,0.346
91701-01-76-01,54697.92,2.727,0.009,0.234,0.021,12.475,0.412
91701-01-77-00,54702.83,3.996,0.015,0.703,0.044,9.667,0.232
91701-01-78-00,54711.71,2.371,0.007,0.279,0.019,14.033,0.333
91701-01-79-00,54717.73,2.642,0.007,0.302,0.022,13.441,0.329
91701-01-79-01,54717.79,3.053,0.009,0.400,0.025,12.464,0.275
91701-01-80-00,54723.80,3.345,0.008,0.472,0.022,11.427,0.185
92082-03-01-00,53834.83,3.982,0.006,0.831,0.020,10.730,0.101
92437-01-01-00,54228.97,2.402,0.004,0.169,0.009,15.643,0.257
92702-01-01-00,53803.27,2.940,0.010,0.484,0.028,12.565,0.290
92702-01-01-01,53803.34,2.913,0.008,0.361,0.025,12.312,0.289
92702-01-02-00,53809.23,1.976,0.006,0.247,0.017,14.962,0.357
92702-01-02-01,53809.30,2.058,0.007,0.276,0.017,14.471,0.341
92702-01-03-00,53815.19,2.638,0.007,0.390,0.024,12.963,0.273
92702-01-05-00,53829.20,2.778,0.009,0.541,0.034,12.529,0.296
92702-01-05-01,54011.68,2.963,0.009,0.190,0.018,12.050,0.248
92702-01-06-00,53837.15,2.358,0.010,0.334,0.030,12.249,0.384
92702-01-08-00,53851.09,3.988,0.011,0.557,0.031,10.636,0.209
92702-01-08-01,53851.16,4.406,0.016,0.822,0.039,10.144,0.172
92702-01-08-02,53851.23,4.319,0.012,0.546,0.030,9.641,0.186
92702-01-08-03,53851.30,3.760,0.014,0.539,0.038,11.127,0.295
92702-01-09-00,53859.22,3.819,0.005,0.472,0.015,11.182,0.122
92702-01-20-00,53933.90,3.330,0.011,0.383,0.016,13.662,0.266
92702-01-20-01,53934.00,3.598,0.011,0.353,0.022,14.108,0.347
92702-01-20-02,53934.06,3.609,0.009,0.281,0.018,13.023,0.309
92702-01-21-00,53939.85,2.699,0.003,0.085,0.007,14.411,0.425
92702-01-21-01,53939.96,2.615,0.006,0.150,0.012,13.763,0.414
92702-01-21-02,53940.05,2.623,0.007,0.129,0.013,13.682,0.524
92702-01-22-00,53947.91,4.706,0.014,0.590,0.039,7.035,0.142
92702-01-22-01,53947.83,4.834,0.013,0.697,0.032,7.331,0.130
92702-01-28-00,54005.86,5.115,0.014,0.725,0.038,6.628,0.123
92702-01-28-01,54005.79,4.987,0.012,0.624,0.029,7.020,0.113
92702-01-29-00,54011.75,3.302,0.006,0.424,0.012,12.107,0.123
92702-01-30-00,54019.66,4.097,0.006,0.694,0.018,10.358,0.095
92702-01-31-00,54589.09,1.069,0.003,0.071,0.006,11.841,0.362
92702-01-31-01,54589.27,1.111,0.004,0.091,0.010,12.017,0.451
92702-01-32-00,54597.08,0.988,0.003,0.082,0.008,11.941,0.402
92702-01-32-01,54597.15,0.942,0.004,0.086,0.011,11.488,0.459
92702-01-32-02,54597.22,1.042,0.005,0.100,0.015,12.026,0.528
92702-01-33-00,54605.06,0.985,0.003,0.089,0.008,11.312,0.325
94701-01-10-00,54895.16,2.977,0.009,0.346,0.015,13.816,0.247
94701-01-11-00,54900.70,2.139,0.004,0.154,0.009,13.620,0.278
94701-01-12-00,54909.23,1.316,0.003,0.058,0.005,12.672,0.457
94701-01-12-01,54909.30,1.265,0.003,0.062,0.006,12.743,0.461
94701-01-13-00,54914.46,2.584,0.008,0.307,0.017,14.093,0.296
94701-01-34-00,55063.80,3.856,0.006,0.221,0.011,10.399,0.187
94701-01-34-01,55063.87,3.839,0.015,0.195,0.025,9.684,0.291
94701-01-35-00,55068.96,4.317,0.010,0.403,0.019,10.019,0.183
94701-01-46-00,55144.52,4.099,0.019,0.588,0.057,9.237,0.359
94701-01-47-00,55150.54,4.670,0.016,0.598,0.046,6.853,0.190
95701-01-09-00,55258.24,2.173,0.007,0.243,0.014,14.775,0.322
95701-01-09-01,55258.31,2.061,0.006,0.209,0.014,14.732,0.351
95701-01-10-00,55265.57,4.950,0.014,0.350,0.032,6.634,0.216
95701-01-11-00,55271.32,2.338,0.005,0.134,0.010,13.548,0.369
95701-01-11-01,55271.25,2.337,0.004,0.143,0.011,14.364,0.329
95701-01-13-00,55286.41,2.977,0.007,0.288,0.020,12.836,0.299
95701-01-14-00,55290.67,4.607,0.020,0.472,0.054,7.171,0.287
95701-01-33-00,55424.96,2.677,0.008,0.316,0.018,13.391,0.269
95701-01-33-01,55424.89,2.474,0.007,0.211,0.016,13.167,0.328
95701-01-34-00,55434.58,4.391,0.016,0.451,0.037,8.980,0.255
95701-01-37-00,55453.66,2.703,0.012,0.276,0.029,12.463,0.339
95701-01-38-00,55460.65,1.785,0.005,0.153,0.011,14.234,0.380
95701-01-39-00,55467.98,3.467,0.009,0.373,0.029,11.215,0.263
95701-01-40-00,55473.52,4.818,0.011,0.436,0.029,6.371,0.145
95701-01-41-00,55481.62,4.645,0.012,0.485,0.030,6.884,0.155
95701-01-42-00,55489.79,2.217,0.005,0.227,0.012,14.695,0.282
95701-01-43-00,55496.59,4.543,0.012,0.711,0.030,8.211,0.130
95701-01-44-00,55501.55,2.329,0.007,0.275,0.016,14.162,0.317
95701-01-44-01,55501.68,2.334,0.012,0.234,0.033,13.287,0.621
95701-01-46-00,55515.62,4.043,0.017,0.684,0.040,9.900,0.255
96701-01-05-00,55592.46,3.647,0.013,0.389,0.025,12.341,0.329
96701-01-06-00,55600.29,4.552,0.011,0.687,0.026,8.802,0.149
96701-01-07-00,55608.29,1.738,0.007,0.186,0.016,12.368,0.382
96701-01-07-01,55608.36,1.720,0.008,0.167,0.018,11.887,0.404
96701-01-08-00,55615.28,2.478,0.007,0.251,0.018,13.496,0.322
96701-01-08-01,55615.35,2.596,0.007,0.240,0.016,13.190,0.317
96701-01-09-00,55622.26,2.052,0.004,0.168,0.012,14.068,0.303
96701-01-09-01,55622.33,1.862,0.005,0.117,0.012,13.433,0.465
96701-01-10-00,55628.27,5.220,0.014,0.499,0.034,5.078,0.126
96701-01-10-01,55628.34,6.125,0.015,0.622,0.042,3.847,0.097
96701-01-14-00,55657.16,4.674,0.019,0.492,0.052,6.513,0.194
96701-01-14-01,55657.23,4.542,0.013,0.343,0.038,7.169,0.218
96701-01-15-00,55664.15,2.882,0.008,0.243,0.020,12.786,0.324
96701-01-15-01,55664.21,3.079,0.007,0.220,0.018,12.645,0.316
96701-01-19-00,55692.21,3.521,0.010,0.414,0.026,11.303,0.241
96701-01-20-00,55698.09,2.607,0.004,0.186,0.010,13.388,0.221
96701-01-21-00,55705.04,4.871,0.011,0.344,0.026,6.693,0.162
96701-01-25-00,55913.14,2.600,0.006,0.294,0.013,12.129,0.166
96701-01-27-00,55747.00,2.678,0.006,0.373,0.019,14.786,0.280
96701-01-28-00,55751.89,4.080,0.014,0.553,0.031,8.983,0.146
96701-01-33-00,55927.09,4.036,0.007,0.454,0.019,9.569,0.143
96701-01-49-00,55901.47,3.047,0.006,0.417,0.014,11.793,0.134
96701-01-50-00,55909.45,2.002,0.006,0.170,0.013,10.861,0.296
96701-01-50-01,55909.52,1.945,0.007,0.175,0.018,10.883,0.344
96701-01-51-00,55915.51,1.616,0.006,0.143,0.011,11.058,0.323
96701-01-51-01,55915.58,1.562,0.005,0.127,0.011,11.461,0.343
96701-01-52-00,55921.43,3.456,0.011,0.559,0.024,11.606,0.178
96701-01-52-01,55921.50,4.074,0.008,0.362,0.026,9.660,0.224
